Parameter,Mean,Median,Std,Min,Max
Parameter 1,1.6561436000000005,1.6580499999999998,0.11052889223655506,1.1557,1.9994
Parameter 2,0.4919747800000001,0.491705,0.02024342861650665,0.19332,0.56006
Parameter 3,0.6299824799999998,0.61972,0.05800947370774533,0.13026,0.93971
Parameter 4,0.06259258199999998,0.0617785,0.0075029560715278104,0.046731,0.18727
Parameter 5,0.41977719799999996,0.420165,0.02936599258105872,0.062849,0.93949
Parameter 6,0.6132308821999998,0.617045,0.05258165382385899,0.0016011,0.66432
Parameter 7,0.0032441284871715993,0.004007500000000001,0.0057821356906968095,3.1884e-09,0.10481
Parameter 8,0.3572227023999996,0.35097500000000004,0.03365831019329748,0.0031668,0.47873
Parameter 9,0.03278430400000003,0.033102,0.0013062423418278865,0.0261,0.046166
Parameter 10,0.06367373599999998,0.06526850000000001,0.005067374823150936,0.024115,0.074884
Parameter 11,1.6982578000000004,1.66765,0.06767213487957947,1.4595,1.9777
